TEAM,LEAGUE,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS
Los Angeles Dodgers,NL,25,860,6.32,231,37,6,45,153,86,200,32,1,.269,.337,.483,.820
Arizona Diamondbacks,NL,25,862,6.48,244,42,3,41,154,93,200,20,5,.283,.357,.481,.838
Milwaukee Brewers,NL,27,911,4.925925925925926,202,43,7,38,126,105,257,36,7,.222,.302,.409,.711
Oakland Athletics,AL,26,918,4.269230769230769,236,45,3,37,110,63,247,23,3,.257,.305,.434,.739
New York Mets,NL,26,869,5.153846153846154,215,38,2,36,126,75,233,14,3,.247,.317,.420,.737
Atlanta Braves,NL,27,929,4.666666666666667,228,53,1,34,121,86,233,12,3,.245,.314,.414,.728
Colorado Rockies,NL,26,860,4.115384615384615,199,38,3,33,104,74,268,17,6,.231,.293,.398,.691
Los Angeles Angels,AL,26,839,3.6538461538461537,164,21,2,33,92,74,247,25,4,.195,.273,.343,.616
Philadelphia Phillies,NL,27,920,4.777777777777778,241,63,2,33,125,75,245,13,4,.262,.325,.442,.767
San Diego Padres,NL,25,861,4.6,227,42,0,33,104,84,159,23,3,.264,.331,.427,.758
Chicago Cubs,NL,26,933,6.846153846153846,272,48,5,32,168,102,214,32,4,.292,.365,.457,.822
Cleveland Guardians,AL,28,920,3.857142857142857,223,42,1,31,102,82,229,30,9,.242,.311,.391,.702
San Francisco Giants,NL,24,799,3.9583333333333335,171,33,1,31,91,60,247,17,2,.214,.272,.374,.646
New York Yankees,AL,26,860,4.384615384615385,201,35,0,30,107,100,231,23,6,.234,.315,.379,.694
Seattle Mariners,AL,25,823,4.8,206,43,0,29,115,111,238,33,4,.250,.353,.408,.761
Boston Red Sox,AL,26,838,3.3076923076923075,179,37,1,28,84,56,254,13,7,.214,.271,.360,.631
Kansas City Royals,AL,26,867,3.8461538461538463,199,39,4,28,95,69,214,24,4,.230,.291,.381,.672
Detroit Tigers,AL,26,891,4.6923076923076925,222,41,6,27,119,89,261,13,6,.249,.322,.400,.722
Houston Astros,AL,27,933,4.518518518518518,240,43,2,26,114,77,202,11,3,.257,.317,.391,.708
Toronto Blue Jays,AL,25,863,4.44,222,49,6,26,107,70,195,6,1,.257,.323,.418,.741
Tampa Bay Rays,AL,27,912,3.4444444444444446,214,37,7,25,87,66,263,26,6,.235,.289,.373,.662
Miami Marlins,NL,26,884,4.423076923076923,226,47,3,24,109,70,219,24,7,.256,.311,.397,.708
Baltimore Orioles,AL,25,828,3.6,175,33,5,23,84,87,225,17,3,.211,.293,.347,.640
Pittsburgh Pirates,NL,27,906,4.37037037037037,221,45,2,23,115,79,236,26,3,.244,.311,.374,.685
St. Louis Cardinals,NL,27,919,3.925925925925926,227,49,4,23,102,83,214,24,4,.247,.310,.384,.694
Texas Rangers,AL,25,837,4.08,193,41,0,23,96,67,210,19,6,.231,.294,.362,.656
Washington Nationals,NL,26,857,3.6538461538461537,203,49,0,23,85,68,203,44,11,.237,.299,.375,.674
Minnesota Twins,AL,26,853,3.423076923076923,187,45,2,22,87,66,229,3,2,.219,.285,.354,.639
Chicago White Sox,AL,25,846,3.0,198,18,1,18,73,62,209,5,6,.234,.287,.322,.609
Cincinnati Reds,NL,27,901,4.148148148148148,221,41,5,18,107,92,251,30,7,.245,.322,.362,.684
