,PLAYER,LINE,ACTUAL,DIFF,STAT,MIN,TEAMODDS,TEAM
0,Donovan Mitchell,25,22.5,-2.5,PTS,30.3,0.87,Cleveland Cavaliers
1,Zach LaVine,19,22.0,3.0,PTS,34.3,-0.010000000000000009,Chicago Bulls
2,Darius Garland,19,20.5,1.5,PTS,29.5,0.87,Cleveland Cavaliers
3,Coby White,19,19.4,0.3999999999999986,PTS,33.2,-0.010000000000000009,Chicago Bulls
4,Evan Mobley,18,18.4,0.3999999999999986,PTS,29.9,0.87,Cleveland Cavaliers
5,Jarrett Allen,15,13.9,-1.0999999999999996,PTS,29.7,0.87,Cleveland Cavaliers
6,Josh Giddey,13,13.5,0.5,PTS,28.7,-0.010000000000000009,Chicago Bulls
7,Patrick Williams,10,8.6,-1.4000000000000004,PTS,28.0,-0.010000000000000009,Chicago Bulls
8,Isaac Okoro,8,6.0,-2.0,PTS,20.4,0.87,Cleveland Cavaliers
9,Shai Gilgeous-Alexander,31,26.1,-4.899999999999999,PTS,32.6,-0.25,Oklahoma City Thunder
10,James Harden,22,21.2,-0.8000000000000007,PTS,34.9,-0.73,LA Clippers
11,Norman Powell,22,25.5,3.5,PTS,34.2,-0.73,LA Clippers
12,Jalen Williams,20,19.1,-0.8999999999999986,PTS,31.9,-0.25,Oklahoma City Thunder
13,Ivica Zubac,16,16.4,0.3999999999999986,PTS,35.0,-0.73,LA Clippers
14,Luguentz Dort,11,10.8,-0.1999999999999993,PTS,26.5,-0.25,Oklahoma City Thunder
15,Derrick Jones Jr.,9,10.3,1.3000000000000007,PTS,26.5,-0.73,LA Clippers
16,Terance Mann,7,5.1,-1.9000000000000004,PTS,23.2,-0.73,LA Clippers
17,De'Aaron Fox,26,24.2,-1.8000000000000007,PTS,37.4,-0.020000000000000018,Sacramento Kings
18,DeMar DeRozan,24,25.2,1.1999999999999993,PTS,38.3,-0.020000000000000018,Sacramento Kings
19,Victor Wembanyama,24,18.3,-5.699999999999999,PTS,31.0,-0.32999999999999996,San Antonio Spurs
20,Domantas Sabonis,18,20.5,2.5,PTS,36.9,-0.020000000000000018,Sacramento Kings
21,Keegan Murray,15,14.4,-0.5999999999999996,PTS,38.1,-0.020000000000000018,Sacramento Kings
22,Stephon Castle,13,8.4,-4.6,PTS,22.5,-0.32999999999999996,San Antonio Spurs
23,Kevin Huerter,12,11.3,-0.6999999999999993,PTS,26.1,-0.020000000000000018,Sacramento Kings
24,Harrison Barnes,11,9.7,-1.3000000000000007,PTS,28.5,-0.32999999999999996,San Antonio Spurs
25,Julian Champagnie,10,10.4,0.40000000000000036,PTS,27.8,-0.32999999999999996,San Antonio Spurs
26,Chris Paul,10,10.3,0.3000000000000007,PTS,28.3,-0.32999999999999996,San Antonio Spurs
27,Brandon Ingram,25,22.8,-2.1999999999999993,PTS,32.5,-0.33,New Orleans Pelicans
28,Cameron Johnson,16,17.4,1.3999999999999986,PTS,34.0,0.15999999999999998,Brooklyn Nets
29,Jose Alvarado,15,11.5,-3.5,PTS,26.3,-0.33,New Orleans Pelicans
30,Dorian Finney-Smith,8,10.0,2.0,PTS,28.9,0.15999999999999998,Brooklyn Nets
31,Ziaire Williams,8,8.3,0.3000000000000007,PTS,19.9,0.15999999999999998,Brooklyn Nets
32,Ben Simmons,7,6.1,-0.9000000000000004,PTS,24.8,0.15999999999999998,Brooklyn Nets
33,Jalen Wilson,7,7.9,0.9000000000000004,PTS,21.6,0.15999999999999998,Brooklyn Nets
34,Yves Missi,6,5.6,-0.40000000000000036,PTS,21.6,-0.33,New Orleans Pelicans
35,Jordan Poole,22,21.1,-0.8999999999999986,PTS,29.9,-0.53,Washington Wizards
36,Jalen Green,22,21.0,-1.0,PTS,33.2,0.43999999999999995,Houston Rockets
37,Alperen Sengun,21,16.9,-4.100000000000001,PTS,28.4,0.43999999999999995,Houston Rockets
38,Fred VanVleet,17,13.2,-3.8000000000000007,PTS,35.6,0.43999999999999995,Houston Rockets
39,Bilal Coulibaly,15,17.0,2.0,PTS,34.7,-0.53,Washington Wizards
40,Dillon Brooks,13,12.1,-0.9000000000000004,PTS,31.9,0.43999999999999995,Houston Rockets
41,Jabari Smith Jr.,11,11.0,0.0,PTS,28.5,0.43999999999999995,Houston Rockets
42,Alexandre Sarr,11,9.8,-1.1999999999999993,PTS,25.0,-0.53,Washington Wizards
43,Jarrett Allen,11,11.1,0.09999999999999964,REB,29.7,0.07,Cleveland Cavaliers
44,Evan Mobley,9,8.5,-0.5,REB,29.9,0.07,Cleveland Cavaliers
45,Josh Giddey,7,6.5,-0.5,REB,28.7,-0.09999999999999998,Chicago Bulls
46,Zach LaVine,5,5.0,0.0,REB,34.3,-0.09999999999999998,Chicago Bulls
47,Patrick Williams,5,5.0,0.0,REB,28.0,-0.09999999999999998,Chicago Bulls
48,Donovan Mitchell,4,3.0,-1.0,REB,30.3,0.07,Cleveland Cavaliers
49,Coby White,4,3.5,-0.5,REB,33.2,-0.09999999999999998,Chicago Bulls
50,Darius Garland,3,1.9,-1.1,REB,29.5,0.07,Cleveland Cavaliers
51,Isaac Okoro,3,2.5,-0.5,REB,20.4,0.07,Cleveland Cavaliers
52,Ivica Zubac,13,12.7,-0.3000000000000007,REB,35.0,0.75,LA Clippers
53,James Harden,7,8.1,1.0999999999999996,REB,34.9,0.75,LA Clippers
54,Shai Gilgeous-Alexander,7,5.8,-1.2000000000000002,REB,32.6,-0.27,Oklahoma City Thunder
55,Jalen Williams,6,6.2,0.20000000000000018,REB,31.9,-0.27,Oklahoma City Thunder
56,Luguentz Dort,4,3.6,-0.3999999999999999,REB,26.5,-0.27,Oklahoma City Thunder
57,Terance Mann,4,3.7,-0.2999999999999998,REB,23.2,0.75,LA Clippers
58,Derrick Jones Jr.,4,3.4,-0.6000000000000001,REB,26.5,0.75,LA Clippers
59,Norman Powell,4,3.4,-0.6000000000000001,REB,34.2,0.75,LA Clippers
60,Domantas Sabonis,13,12.9,-0.09999999999999964,REB,36.9,-0.17000000000000004,Sacramento Kings
61,Victor Wembanyama,12,10.2,-1.8000000000000007,REB,31.0,0.06999999999999995,San Antonio Spurs
62,Keegan Murray,8,9.0,1.0,REB,38.1,-0.17000000000000004,Sacramento Kings
63,De'Aaron Fox,5,5.2,0.20000000000000018,REB,37.4,-0.17000000000000004,Sacramento Kings
64,Julian Champagnie,5,5.3,0.2999999999999998,REB,27.8,0.06999999999999995,San Antonio Spurs
65,Kevin Huerter,5,3.4,-1.6,REB,26.1,-0.17000000000000004,Sacramento Kings
66,DeMar DeRozan,4,3.6,-0.3999999999999999,REB,38.3,-0.17000000000000004,Sacramento Kings
67,Stephon Castle,4,2.5,-1.5,REB,22.5,0.06999999999999995,San Antonio Spurs
68,Chris Paul,4,3.6,-0.3999999999999999,REB,28.3,0.06999999999999995,San Antonio Spurs
69,Harrison Barnes,4,3.5,-0.5,REB,28.5,0.06999999999999995,San Antonio Spurs
70,Ben Simmons,7,6.0,-1.0,REB,24.8,-0.46,Brooklyn Nets
71,Yves Missi,6,5.4,-0.5999999999999996,REB,21.6,-0.7,New Orleans Pelicans
72,Brandon Ingram,6,6.0,0.0,REB,32.5,-0.7,New Orleans Pelicans
73,Dorian Finney-Smith,5,5.0,0.0,REB,28.9,-0.46,Brooklyn Nets
74,Cameron Johnson,5,4.4,-0.5999999999999996,REB,34.0,-0.46,Brooklyn Nets
75,Jose Alvarado,4,2.4,-1.6,REB,26.3,-0.7,New Orleans Pelicans
76,Alperen Sengun,11,11.0,0.0,REB,28.4,0.8799999999999999,Houston Rockets
77,Alexandre Sarr,7,6.3,-0.7000000000000002,REB,25.0,-0.19999999999999996,Washington Wizards
78,Jabari Smith Jr.,7,6.7,-0.2999999999999998,REB,28.5,0.8799999999999999,Houston Rockets
79,Bilal Coulibaly,6,5.5,-0.5,REB,34.7,-0.19999999999999996,Washington Wizards
80,Jalen Green,6,4.6,-1.4000000000000004,REB,33.2,0.8799999999999999,Houston Rockets
81,Fred VanVleet,4,3.9,-0.10000000000000009,REB,35.6,0.8799999999999999,Houston Rockets
