TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,OPP_FGM,OPP_FGA,OPP_FG_PCT,OPP_FG3M,OPP_FG3A,OPP_FG3_PCT,OPP_FTM,OPP_FTA,OPP_FT_PCT,OPP_OREB,OPP_DREB,OPP_REB,OPP_AST,OPP_TOV,OPP_STL,OPP_BLK,OPP_BLKA,OPP_PF,OPP_PFD,OPP_PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OPP_FGM_RANK,OPP_FGA_RANK,OPP_FG_PCT_RANK,OPP_FG3M_RANK,OPP_FG3A_RANK,OPP_FG3_PCT_RANK,OPP_FTM_RANK,OPP_FTA_RANK,OPP_FT_PCT_RANK,OPP_OREB_RANK,OPP_DREB_RANK,OPP_REB_RANK,OPP_AST_RANK,OPP_TOV_RANK,OPP_STL_RANK,OPP_BLK_RANK,OPP_BLKA_RANK,OPP_PF_RANK,OPP_PFD_RANK,OPP_PTS_RANK,PLUS_MINUS_RANK
1610612737,Atlanta Hawks,82,36,46,0.439,48.4,44.6,90.2,0.495,0.13,36.4,0.384,17.3,21.8,0.792,10.6,33.6,0.37,0.18,14.1,0.33,0.3,4.5,19.4,18.6,0.08,2.2,1,21,21,21,3,27,20,28,27,22,28,19,18,23,15,21,20,25,8,21,22,26,24,16,28,21
1610612738,Boston Celtics,82,64,18,0.78,48.4,41.5,91.6,0.453,0.55,36.7,0.352,13.3,17.3,0.768,11.1,32.3,0.57,0.87,12.0,0.98,1.0,6.6,17.3,16.2,0.87,-11.3,1,1,1,1,7,13,26,2,15,23,4,1,1,3,26,10,14,5,29,2,1,1,1,29,5,1
1610612751,Brooklyn Nets,82,32,50,0.39,48.3,41.6,88.5,0.47,0.48,34.9,0.372,17.1,21.2,0.807,10.3,34.0,0.33,0.8,12.6,0.77,0.5,5.2,18.2,18.5,0.53,2.9,1,22,22,22,10,14,15,13,17,13,22,16,12,30,9,24,21,7,25,8,16,12,10,18,15,22
1610612766,Charlotte Hornets,82,21,61,0.256,48.1,43.4,87.7,0.494,0.2,36.2,0.377,16.5,20.7,0.796,10.6,34.8,0.1,0.1,13.6,0.67,0.63,4.5,17.5,18.0,0.3,10.2,1,27,27,27,23,22,12,27,25,20,26,10,7,26,13,27,28,28,17,11,13,25,2,24,22,30
1610612741,Chicago Bulls,82,39,43,0.476,48.7,41.1,87.0,0.473,0.07,39.5,0.37,16.9,21.8,0.776,10.1,33.3,0.52,0.27,14.0,0.8,0.57,4.8,18.8,18.8,0.5,1.4,1,20,20,20,1,11,9,16,29,30,20,14,17,9,7,16,16,23,10,7,14,18,17,14,16,20
1610612739,Cleveland Cavaliers,82,48,34,0.585,48.3,40.5,87.5,0.463,0.68,33.8,0.371,16.6,21.0,0.791,10.0,32.6,0.7,0.83,13.6,0.38,0.5,4.6,18.7,17.5,0.8,-2.4,1,11,11,11,10,7,11,6,11,8,21,11,11,21,5,12,10,6,18,19,17,21,15,26,7,13
1610612742,Dallas Mavericks,82,50,32,0.61,48.1,43.0,90.4,0.475,0.4,35.6,0.368,16.6,21.6,0.77,10.9,34.1,0.2,0.3,13.7,0.48,0.97,5.0,20.3,18.3,0.37,-2.2,1,6,6,6,26,20,21,20,20,18,18,12,15,4,21,25,25,22,15,16,2,17,29,21,20,14
1610612743,Denver Nuggets,82,57,25,0.695,48.1,40.6,87.9,0.462,0.97,31.5,0.355,17.1,22.2,0.772,10.9,31.4,0.78,0.73,12.4,0.73,0.63,5.6,17.9,18.2,0.83,-5.3,1,2,2,2,26,9,13,4,2,2,8,18,20,6,20,7,7,9,27,9,12,10,4,22,6,4
1610612765,Detroit Pistons,82,14,68,0.171,48.2,43.6,89.0,0.49,0.8,32.7,0.37,19.6,24.5,0.8,9.6,33.5,0.6,0.37,12.4,0.07,0.18,4.7,17.8,20.6,0.17,9.1,1,30,30,30,21,23,17,24,7,5,19,29,28,28,4,19,13,20,26,28,25,20,3,3,26,28
1610612744,Golden State Warriors,82,46,36,0.561,48.4,42.1,90.4,0.466,0.33,37.0,0.359,17.7,22.4,0.788,10.9,32.0,0.63,0.5,13.0,0.38,0.5,4.6,17.9,19.5,0.43,-2.6,1,16,16,16,7,18,22,9,21,25,11,22,22,18,18,8,12,16,23,20,15,23,7,9,18,12
