TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
1610612737,Atlanta Hawks,36,18,18,0.5,48.3,42.7,92.1,0.464,0.42,36.8,0.35,18.9,24.1,0.781,12.1,33.4,0.83,0.93,16.3,10.4,5.3,5.6,18.4,20.3,0.8,-2.6,2,12,17,16,14,9,4,15,18,18,20,4,4,15,8,15,6,3,24,2,12,20,10,5,7,21
1610612738,Boston Celtics,36,26,10,0.722,48.4,41.8,90.8,0.46,1.0,50.2,0.367,16.6,21.0,0.79,11.0,34.1,0.72,0.47,11.9,7.6,5.6,4.1,16.2,18.9,0.9,10.2,2,3,3,3,8,12,7,18,1,1,14,16,21,11,13,8,10,17,2,24,7,3,1,16,4,3
1610612751,Brooklyn Nets,35,13,22,0.371,48.3,38.0,84.3,0.451,0.83,39.3,0.368,17.2,21.3,0.809,9.0,30.3,0.03,0.43,15.6,7.2,3.7,6.0,21.5,19.5,0.17,-5.7,9,24,24,24,12,29,30,22,6,8,13,14,16,2,28,28,30,18,20,29,29,25,29,9,26,24
1610612766,Charlotte Hornets,34,7,27,0.206,48.4,38.2,89.7,0.426,0.78,41.8,0.343,15.1,19.6,0.766,12.8,33.1,0.9,0.13,16.1,8.0,4.9,5.6,20.5,19.0,0.07,-6.7,21,28,27,28,5,28,13,30,7,3,23,29,28,25,3,21,4,27,23,17,18,23,26,14,29,25
1610612741,Chicago Bulls,35,16,19,0.457,48.1,43.1,92.1,0.469,0.97,44.1,0.374,15.1,18.9,0.798,9.2,35.9,0.72,0.9,15.1,7.5,4.7,4.9,18.3,16.4,0.87,-3.4,9,21,21,21,18,5,3,10,2,2,8,28,30,6,27,1,9,4,18,26,22,14,9,30,5,23
1610612739,Cleveland Cavaliers,35,31,4,0.886,48.0,45.1,89.6,0.504,0.93,40.3,0.404,15.9,20.6,0.775,9.6,34.2,0.5,0.87,13.0,8.8,4.7,4.6,18.4,18.7,0.97,11.8,9,1,1,1,25,2,14,1,3,5,1,23,24,20,23,7,16,5,3,9,20,9,11,20,2,2
1610612742,Dallas Mavericks,35,20,15,0.571,48.1,42.5,88.2,0.482,0.47,35.7,0.373,18.4,23.8,0.773,11.0,33.8,0.63,0.37,14.4,8.2,6.0,4.2,19.1,19.2,0.77,4.7,9,8,8,8,18,10,18,6,17,22,9,6,6,21,11,9,12,20,13,15,4,5,16,11,8,7
1610612743,Denver Nuggets,34,20,14,0.588,48.6,45.1,90.6,0.498,0.15,31.1,0.379,18.8,24.6,0.763,10.9,34.4,0.8,1.0,14.1,8.8,4.7,5.6,18.0,20.3,0.93,3.5,21,8,7,7,1,1,8,3,27,30,4,5,2,27,14,6,7,1,11,10,21,21,6,4,3,8
1610612765,Detroit Pistons,35,17,18,0.486,48.6,41.5,89.0,0.466,0.5,37.1,0.362,15.4,20.2,0.765,11.2,33.7,0.67,0.5,15.9,7.3,5.0,4.9,20.4,17.7,0.47,-1.9,9,16,17,19,2,13,16,14,16,17,17,27,26,26,10,10,11,16,22,28,16,13,25,28,17,19
1610612744,Golden State Warriors,35,18,17,0.514,48.1,41.2,91.6,0.45,0.9,41.1,0.369,14.6,20.6,0.711,12.7,33.6,0.93,0.8,14.5,8.9,5.4,6.1,19.5,17.8,0.53,1.2,9,12,14,14,18,15,6,23,4,4,12,30,24,30,4,13,3,8,15,8,10,28,17,26,15,13
1610612745,Houston Rockets,35,23,12,0.657,48.4,41.5,93.7,0.442,0.15,36.3,0.326,17.5,22.9,0.768,14.3,34.6,1.0,0.03,13.5,8.4,5.4,6.1,19.8,20.0,0.6,5.6,9,5,4,5,6,14,1,29,26,19,29,12,9,24,1,5,1,30,6,12,10,26,20,8,12,6
1610612754,Indiana Pacers,36,18,18,0.5,48.3,42.9,88.0,0.488,0.42,34.4,0.374,16.6,21.2,0.781,8.9,32.6,0.1,0.73,14.0,8.0,5.2,4.6,19.6,18.4,0.7,-1.3,2,12,17,16,14,7,19,4,18,25,7,17,18,16,29,23,28,9,9,17,14,8,19,22,10,17
1610612746,LA Clippers,35,20,15,0.571,48.1,40.1,85.8,0.467,0.37,34.3,0.366,16.4,21.1,0.778,10.7,33.3,0.53,0.23,16.7,9.8,4.3,4.9,18.8,17.7,0.28,1.3,9,8,8,8,18,20,25,13,20,27,15,18,20,17,16,16,15,24,28,4,26,14,15,29,23,11
1610612747,Los Angeles Lakers,35,20,15,0.571,48.1,40.7,86.0,0.473,0.22,33.7,0.355,18.9,24.0,0.79,9.6,32.1,0.15,0.63,13.5,7.6,4.8,4.2,16.5,20.5,0.6,-1.6,9,8,8,8,18,17,23,9,24,28,18,3,5,10,23,25,26,12,7,25,19,4,4,3,14,18
1610612763,Memphis Grizzlies,36,23,13,0.639,48.0,45.0,93.2,0.483,0.68,38.2,0.37,19.1,24.6,0.776,12.9,35.6,0.97,0.97,17.4,9.0,6.4,5.6,21.3,21.7,1.0,8.2,2,5,6,6,25,3,2,5,10,10,11,2,1,19,2,2,2,2,29,7,3,22,28,1,1,4
1610612748,Miami Heat,33,17,16,0.515,48.5,39.4,86.1,0.457,0.68,37.8,0.372,18.2,23.3,0.784,9.4,33.5,0.3,0.57,13.6,8.8,3.6,5.1,16.5,18.8,0.33,1.0,26,16,11,12,3,25,22,20,11,12,10,7,7,13,25,14,22,14,8,11,30,17,3,17,21,15
1610612749,Milwaukee Bucks,33,17,16,0.515,48.2,41.1,86.5,0.475,0.78,37.4,0.383,15.8,21.5,0.733,8.3,35.1,0.37,0.2,14.1,7.9,5.1,3.9,18.5,18.4,0.6,1.1,26,16,11,12,16,16,21,8,8,14,2,24,14,29,30,3,19,25,10,19,15,1,12,23,13,14
