,game_id,season,game_type,week,gameday,weekday,gametime,away_team,away_score,home_team,home_score,location,result,total,overtime,old_game_id,gsis,nfl_detail_id,pfr,pff,espn,ftn,away_rest,home_rest,away_moneyline,home_moneyline,spread_line,away_spread_odds,home_spread_odds,total_line,under_odds,over_odds,div_game,roof,surface,temp,wind,away_qb_id,home_qb_id,away_qb_name,home_qb_name,away_coach,home_coach,referee,stadium_id,stadium
6706,2024_01_BAL_KC,2024,REG,1,2024-09-05,Thursday,20:20,BAL,,KC,,Home,,,,2024090500,,,202409050kan,,401671789,,7,7,120.0,-142.0,2.5,-102.0,-118.0,46.5,-112.0,-108.0,0,outdoors,grass,,,,,,,John Harbaugh,Andy Reid,,KAN00,GEHA Field at Arrowhead Stadium
6707,2024_01_GB_PHI,2024,REG,1,2024-09-06,Friday,20:15,GB,,PHI,,Neutral,,,,2024090600,,,202409060phi,,401671805,,7,7,105.0,-125.0,2.0,-110.0,-110.0,48.5,-110.0,-110.0,0,outdoors,grass,,,,,,,Matt LaFleur,Nick Sirianni,,PHI00,Lincoln Financial Field
6708,2024_01_PIT_ATL,2024,REG,1,2024-09-08,Sunday,13:00,PIT,,ATL,,Home,,,,2024090800,,,202409080atl,,401671744,,7,7,110.0,-130.0,2.0,-110.0,-110.0,42.5,-105.0,-115.0,0,closed,fieldturf,,,,,,,Mike Tomlin,Raheem Morris,,ATL97,Mercedes-Benz Stadium
6709,2024_01_ARI_BUF,2024,REG,1,2024-09-08,Sunday,13:00,ARI,,BUF,,Home,,,,2024090801,,,202409080buf,,401671617,,7,7,225.0,-278.0,6.5,-110.0,-110.0,48.0,-110.0,-110.0,0,outdoors,a_turf,,,,,,,Jonathan Gannon,Sean McDermott,,BUF00,New Era Field
6710,2024_01_TEN_CHI,2024,REG,1,2024-09-08,Sunday,13:00,TEN,,CHI,,Home,,,,2024090802,,,202409080chi,,401671719,,7,7,164.0,-198.0,4.0,-108.0,-112.0,43.0,-108.0,-112.0,0,outdoors,grass,,,,,,,Brian Callahan,Matt Eberflus,,CHI98,Soldier Field
6711,2024_01_NE_CIN,2024,REG,1,2024-09-08,Sunday,13:00,NE,,CIN,,Home,,,,2024090803,,,202409080cin,,401671628,,7,7,350.0,-455.0,9.0,-110.0,-110.0,43.0,-110.0,-110.0,0,outdoors,fieldturf,,,,,,,Jerod Mayo,Zac Taylor,,CIN00,Paycor Stadium
6712,2024_01_HOU_IND,2024,REG,1,2024-09-08,Sunday,13:00,HOU,,IND,,Home,,,,2024090804,,,202409080clt,,401671861,,7,7,-122.0,102.0,-1.5,-110.0,-110.0,48.0,-110.0,-110.0,1,closed,fieldturf,,,,,,,DeMeco Ryans,Shane Steichen,,IND00,Lucas Oil Stadium
6713,2024_01_JAX_MIA,2024,REG,1,2024-09-08,Sunday,13:00,JAX,,MIA,,Home,,,,2024090805,,,202409080mia,,401671849,,7,7,150.0,-180.0,3.5,-110.0,-110.0,49.0,-110.0,-110.0,0,outdoors,grass,,,,,,,Doug Pederson,Mike McDaniel,,MIA00,Hard Rock Stadium
6714,2024_01_CAR_NO,2024,REG,1,2024-09-08,Sunday,13:00,CAR,,NO,,Home,,,,2024090806,,,202409080nor,,401671734,,7,7,180.0,-218.0,5.0,-112.0,-108.0,40.5,-110.0,-110.0,1,dome,sportturf,,,,,,,Dave Canales,Dennis Allen,,NOR00,Mercedes-Benz Superdome
6715,2024_01_MIN_NYG,2024,REG,1,2024-09-08,Sunday,13:00,MIN,,NYG,,Home,,,,2024090807,,,202409080nyg,,401671712,,7,7,-118.0,-102.0,-1.0,-110.0,-110.0,41.5,-110.0,-110.0,0,outdoors,fieldturf,,,,,,,Kevin O'Connell,Brian Daboll,,NYC01,MetLife Stadium
