,team,pass,rush,pts_pot,pts,total
0,Kansas City Chiefs,0,-5,-14,38.3,-19
1,Baltimore Ravens,-17,16,-2,45.7,-3
2,Philadelphia Eagles,-7,20,3,46.1,16
3,Green Bay Packers,19,-5,18,47.7,32
4,Atlanta Falcons,-5,10,-20,38.0,-15
5,Pittsburgh Steelers,-17,7,-9,39.8,-19
6,Buffalo Bills,5,25,25,53.3,55
7,Arizona Cardinals,-19,11,-21,37.7,-29
8,Chicago Bears,-9,11,-2,42.8,0
9,Tennessee Titans,-4,-16,-8,40.2,-28
10,Cincinnati Bengals,-4,-27,-1,43.0,-32
11,New England Patriots,0,0,-11,36.5,-11
12,Indianapolis Colts,3,-4,0,44.1,-1
13,Houston Texans,9,2,14,46.599999999999994,25
14,Miami Dolphins,25,3,15,51.0,43
15,Jacksonville Jaguars,6,-17,9,45.2,-2
16,New Orleans Saints,-8,2,20,48.1,14
17,Carolina Panthers,-22,2,-23,33.1,-43
18,New York Giants,-7,-8,-17,36.9,-32
19,Minnesota Vikings,14,0,4,44.099999999999994,18
20,Los Angeles Chargers,-1,-4,-12,39.9,-17
21,Las Vegas Raiders,7,-12,1,42.9,-4
22,Seattle Seahawks,8,2,10,45.7,20
23,Denver Broncos,-3,13,6,44.6,16
24,Cleveland Browns,-14,4,-5,41.8,-15
25,Dallas Cowboys,-2,-3,13,51.2,8
26,Tampa Bay Buccaneers,15,-5,12,51.0,22
27,Washington Commanders,11,-22,-17,38.5,-28
28,Detroit Lions,18,7,14,49.3,39
29,Los Angeles Rams,17,-9,15,47.0,23
30,San Francisco 49ers,-2,22,9,49.8,29
31,New York Jets,-16,-20,-26,33.3,-62
