,team,pass_average,rush_average,pts_average,pts,total,opp
0,Philadelphia,-0.44,0.81,0.14,23.8,0.51,Washington
1,Washington,-0.35,0.03,0.06,23.45,-0.26,Philadelphia
2,Chicago,-0.41,-0.44,-0.41,20.5,-1.26,GreenBay
3,GreenBay,-0.09,0.66,-0.06,22.06,0.51,Chicago
4,Detroit,0.53,0.42,0.78,28.98,1.73,Jacksonville
5,Jacksonville,0.26,-0.59,-0.4,19.6,-0.73,Detroit
6,Miami,-0.41,0.41,0.0,22.11,0.0,LasVegas
7,LasVegas,-0.34,-0.63,-0.23,20.55,-1.2,Miami
8,NewEngland,-0.22,-0.1,-0.28,20.05,-0.6,L.A.Rams
9,L.A.Rams,0.25,-0.09,-0.2,21.28,-0.04,NewEngland
10,NewOrleans,-0.09,0.03,0.15,23.19,0.09,Cleveland
11,Cleveland,0.15,-0.03,-0.18,20.52,-0.06,NewOrleans
12,Pittsburgh,0.19,-0.22,0.41,24.59,0.38,Baltimore
13,Baltimore,0.6,0.09,0.03,24.01,0.72,Pittsburgh
14,Tennessee,-0.1,-0.25,-0.75,17.44,-1.1,Minnesota
15,Minnesota,-0.34,-0.09,0.6,25.62,0.17,Tennessee
16,Denver,-0.31,0.02,-0.08,21.65,-0.37,Atlanta
17,Atlanta,0.22,-0.15,-0.3,20.75,-0.23,Denver
18,SanFrancisco,0.69,0.66,0.5,25.23,1.85,Seattle
19,Seattle,0.25,-0.59,0.08,22.88,-0.26,SanFrancisco
20,Buffalo,-0.09,-0.38,0.06,23.45,-0.41,KansasCity
21,KansasCity,0.28,-0.18,-0.06,21.81,0.04,Buffalo
22,L.A.Chargers,-0.07,-0.06,0.22,23.44,0.09,Cincinnati
23,Cincinnati,0.22,-0.63,-0.16,20.05,-0.57,L.A.Chargers
24,N.Y.Jets,0.34,0.0,-0.31,20.0,0.03,Indianapolis
25,Indianapolis,-0.56,0.34,-0.25,21.1,-0.47,N.Y.Jets
26,Dallas,-0.16,-0.63,-0.11,21.14,-0.9,Houston
27,Houston,0.28,0.41,0.44,25.59,1.13,Dallas
