,team,pass,rush,pts_pot,pts,total,opp
0,N.Y. Giants,0,-3,-3,20.5,-6,Dallas
1,Dallas,11,-16,3,22.65,-2,N.Y. Giants
2,Atlanta,8,-13,-15,18.15,-20,New Orleans
3,New Orleans,-9,18,14,26.55,23,Atlanta
4,Carolina,-18,9,2,22.15,-7,Cincinnati
5,Cincinnati,6,8,24,28.9,38,Carolina
6,Chicago,-3,3,12,24.05,12,L.A. Rams
7,L.A. Rams,1,-11,-13,18.8,-23,Chicago
8,Green Bay,22,0,-1,20.4,21,Minnesota
9,Minnesota,15,-3,16,25.65,28,Green Bay
10,Houston,30,-8,13,23.55,35,Jacksonville
11,Jacksonville,-23,1,-8,19.25,-30,Houston
12,Indianapolis,-11,-5,-13,17.3,-29,Pittsburgh
13,Pittsburgh,8,21,-5,20.05,24,Indianapolis
14,N.Y. Jets,-12,-15,-17,16.4,-44,Denver
15,Denver,-29,1,-22,15.5,-50,N.Y. Jets
16,Tampa Bay,18,-3,13,24.15,28,Philadelphia
17,Philadelphia,6,17,-3,20.5,20,Tampa Bay
18,Arizona,-4,17,13,24.75,26,Washington
19,Washington,3,25,26,28.4,54,Arizona
20,San Francisco,27,1,10,23.8,38,New England
21,New England,-16,-6,-19,16.75,-41,San Francisco
22,L.A. Chargers,-8,-3,-16,17.5,-27,Kansas City
23,Kansas City,-1,-10,-12,17.75,-23,L.A. Chargers
24,Las Vegas,-3,-13,0,20.65,-16,Cleveland
25,Cleveland,-9,-2,-2,20.4,-13,Las Vegas
26,Baltimore,-13,29,8,23.65,24,Buffalo
27,Buffalo,7,-15,17,26.25,9,Baltimore
28,Miami,-3,-6,-4,18.5,-13,Tennessee
29,Tennessee,-17,-9,-4,20.0,-30,Miami
30,Detroit,-3,11,-12,17.5,-4,Seattle
31,Seattle,20,-20,-2,21.0,-2,Detroit
